protein1 protein2 experimental database textmining combined_score
511145.b0002 511145.b3091 154 0 0 153
511145.b0002 511145.b4207 284 0 0 284
511145.b0002 511145.b3258 0 0 254 254
511145.b0002 511145.b2530 196 0 0 196
511145.b0002 511145.b1945 294 0 0 294
511145.b0002 511145.b0600 74 0 308 331
511145.b0002 511145.b0407 196 0 0 196
511145.b0002 511145.b1971 173 0 0 173
511145.b0002 511145.b0436 457 0 0 457
511145.b0002 511145.b3128 154 0 0 153
511145.b0002 511145.b2379 74 0 308 331
511145.b0002 511145.b4052 184 0 0 183
511145.b0002 511145.b3940 0 900 973 997
511145.b0002 511145.b2290 74 0 308 331
511145.b0002 511145.b4024 0 900 0 900
511145.b0002 511145.b3347 284 0 0 284
511145.b0003 511145.b0907 0 0 205 205
511145.b0003 511145.b0870 0 0 212 212
511145.b0004 511145.b1581 158 0 0 157
511145.b0004 511145.b2560 0 0 158 157
511145.b0004 511145.b0386 0 0 284 284
511145.b0004 511145.b2708 215 0 0 215
511145.b0004 511145.b3197 215 0 0 215
511145.b0004 511145.b2600 0 0 317 317
511145.b0004 511145.b4388 0 0 281 281
511145.b0006 511145.b0587 343 0 0 343
511145.b0008 511145.b2421 0 0 387 386
511145.b0008 511145.b2464 0 900 0 900
511145.b0008 511145.b3781 457 0 0 457
511145.b0008 511145.b2465 146 0 181 270
511145.b0008 511145.b0071 286 0 0 286
511145.b0008 511145.b2779 0 0 157 156
511145.b0008 511145.b0688 213 0 0 212
511145.b0008 511145.b0605 76 0 422 442
511145.b0008 511145.b2926 0 0 156 155
511145.b0008 511145.b1779 0 0 444 443
511145.b0008 511145.b2935 146 0 169 259
511145.b0009 511145.b2991 420 0 0 420
511145.b0009 511145.b0785 0 0 154 153
511145.b0009 511145.b2231 451 0 0 451
511145.b0009 511145.b1224 399 0 0 398
511145.b0009 511145.b0781 0 0 155 154
511145.b0009 511145.b1727 559 0 0 559
511145.b0009 511145.b0782 0 900 0 900
511145.b0009 511145.b1864 343 0 0 343
511145.b0009 511145.b0783 0 0 156 155
511145.b0009 511145.b3856 399 0 0 398
511145.b0009 511145.b0827 399 0 0 398
511145.b0011 511145.b1073 422 0 0 421
511145.b0011 511145.b1778 399 0 0 398
511145.b0014 511145.b3310 283 0 0 282
511145.b0014 511145.b2274 264 135 49 341
511145.b0014 511145.b3304 259 0 67 279
511145.b0014 511145.b2518 281 0 0 280
511145.b0014 511145.b2811 457 0 0 457
511145.b0014 511145.b0929 0 0 161 161
511145.b0014 511145.b0032 0 0 286 286
511145.b0014 511145.b3316 257 0 0 256
511145.b0014 511145.b3297 267 0 0 267
511145.b0014 511145.b2851 264 135 49 341
511145.b0014 511145.b0605 200 0 133 276
511145.b0014 511145.b3303 276 0 0 276
511145.b0014 511145.b0169 289 0 137 360
511145.b0014 511145.b3342 241 0 0 240
511145.b0014 511145.b1000 412 227 232 620
511145.b0014 511145.b3295 171 0 451 525
511145.b0014 511145.b0525 169 126 100 289
511145.b0014 511145.b0318 281 112 133 398
511145.b0014 511145.b0473 696 309 486 882
511145.b0014 511145.b0474 241 0 0 240
511145.b0014 511145.b1387 43 0 202 203
511145.b0014 511145.b1923 0 0 372 372
511145.b0014 511145.b0015 952 227 984 999
511145.b0014 511145.b2463 0 0 466 465
511145.b0014 511145.b3461 549 0 69 562
511145.b0014 511145.b3340 162 0 139 247
511145.b0014 511145.b3296 255 0 0 254
511145.b0014 511145.b2926 110 0 134 196
511145.b0014 511145.b2522 264 135 49 341
511145.b0014 511145.b2927 137 90 105 235
511145.b0014 511145.b3315 241 0 0 240
511145.b0014 511145.b3596 152 0 54 163
511145.b0014 511145.b4207 146 208 97 335
511145.b0014 511145.b2567 72 0 133 161
511145.b0014 511145.b0894 457 0 0 457
511145.b0014 511145.b1779 163 90 105 258
511145.b0014 511145.b2275 264 135 49 341
511145.b0014 511145.b3983 253 0 0 252
511145.b0014 511145.b3734 81 0 118 154
511145.b0014 511145.b3210 42 88 295 330
511145.b0014 511145.b3313 463 0 133 514
511145.b0014 511145.b2779 308 0 133 374
511145.b0014 511145.b1493 103 144 0 199
511145.b0014 511145.b3308 259 0 0 258
511145.b0014 511145.b0932 75 0 135 165
511145.b0014 511145.b2610 0 0 239 238
511145.b0014 511145.b0049 275 0 0 275
511145.b0014 511145.b2721 526 0 0 526
511145.b0014 511145.b3807 75 54 132 174
511145.b0014 511145.b3686 70 0 618 629
511145.b0014 511145.b1646 157 0 133 237
511145.b0014 511145.b3702 0 0 374 374
511145.b0014 511145.b2529 162 0 139 247
511145.b0014 511145.b3320 269 0 0 269
511145.b0014 511145.b0881 457 0 0 457
511145.b0014 511145.b2614 966 49 973 999
511145.b0014 511145.b3987 75 0 447 466
511145.b0014 511145.b3321 281 0 0 281
511145.b0014 511145.b2530 78 0 133 166
511145.b0014 511145.b2237 211 91 94 293
511145.b0014 511145.b3363 169 126 100 289
511145.b0014 511145.b3306 276 0 0 276
511145.b0014 511145.b3298 257 0 139 332
511145.b0014 511145.b1103 83 0 167 203
511145.b0014 511145.b4179 121 0 400 450
511145.b0014 511145.b0826 111 0 100 165
511145.b0014 511145.b0161 75 0 219 246
511145.b0014 511145.b3532 264 135 49 341
511145.b0014 511145.b0647 152 0 54 163
511145.b0014 511145.b1120 75 252 0 278
511145.b0014 511145.b0911 567 0 0 567
511145.b0014 511145.b4142 190 0 179 306
511145.b0014 511145.b2526 78 0 272 300
511145.b0014 511145.b2527 72 0 139 166
511145.b0014 511145.b0059 279 0 102 324
511145.b0014 511145.b4078 152 0 54 163
511145.b0014 511145.b3319 243 0 130 312
511145.b0014 511145.b3985 261 0 0 261
511145.b0014 511145.b3311 241 0 0 240
511145.b0014 511145.b0649 264 135 49 341
511145.b0014 511145.b2786 42 88 144 186
511145.b0014 511145.b3317 262 0 240 415
511145.b0014 511145.b0957 0 0 367 367
511145.b0014 511145.b3302 257 0 0 256
511145.b0014 511145.b3347 146 208 97 335
511145.b0014 511145.b2231 559 0 0 559
511145.b0014 511145.b3318 272 0 0 272
511145.b0014 511145.b3207 211 91 94 293
511145.b0014 511145.b3165 263 0 0 263
511145.b0014 511145.b0424 476 46 65 491
511145.b0014 511145.b3517 103 144 0 199
511145.b0014 511145.b0033 78 0 120 153
511145.b0014 511145.b3300 148 0 139 235
511145.b0014 511145.b3168 99 0 291 333
511145.b0014 511145.b2592 559 0 566 800
511145.b0014 511145.b3164 457 0 0 457
511145.b0014 511145.b4172 69 0 139 164
511145.b0014 511145.b0383 900 0 0 900
511145.b0014 511145.b4051 108 0 99 161
511145.b0014 511145.b3301 246 0 0 245
511145.b0014 511145.b2627 113 0 102 169
511145.b0014 511145.b0644 152 0 54 163
511145.b0014 511145.b1411 157 141 139 322
511145.b0014 511145.b3341 251 0 0 250
511145.b0014 511145.b4052 0 0 281 281
511145.b0014 511145.b1084 457 0 0 457
511145.b0014 511145.b3314 281 0 0 281
511145.b0014 511145.b1719 83 0 133 170
511145.b0014 511145.b3309 274 0 0 274
511145.b0014 511145.b2582 114 0 306 358
511145.b0014 511145.b2370 42 88 224 262
511145.b0014 511145.b2542 69 0 133 158
511145.b0014 511145.b3783 0 0 406 406
511145.b0014 511145.b0055 72 0 372 392
511145.b0014 511145.b2195 238 129 133 374
511145.b0014 511145.b0993 42 88 138 181
511145.b0014 511145.b3648 254 0 0 254
511145.b0014 511145.b4143 541 43 203 619
511145.b0014 511145.b3349 0 0 469 469
511145.b0014 511145.b3305 271 0 0 271
511145.b0014 511145.b3231 263 0 0 263
511145.b0014 511145.b0646 264 135 49 341
511145.b0015 511145.b2518 460 0 95 490
511145.b0015 511145.b2281 246 0 0 245
511145.b0015 511145.b0882 128 0 154 230
511145.b0015 511145.b0014 952 227 984 999
511145.b0015 511145.b1089 457 0 0 457
511145.b0015 511145.b0419 212 0 0 212
511145.b0015 511145.b2324 165 0 0 165
511145.b0015 511145.b3310 478 0 0 478
511145.b0015 511145.b2274 206 0 63 224
511145.b0015 511145.b1386 273 0 0 273
511145.b0015 511145.b2925 218 0 0 218
511145.b0015 511145.b3297 392 0 0 392
511145.b0015 511145.b2341 256 0 0 256
511145.b0015 511145.b3687 232 0 146 315
511145.b0015 511145.b0436 0 0 283 282
511145.b0015 511145.b0605 70 0 133 159
511145.b0015 511145.b2851 206 0 63 224
511145.b0015 511145.b3619 256 0 0 256
511145.b0015 511145.b1394 256 0 0 256
511145.b0015 511145.b1308 206 0 0 206
511145.b0015 511145.b4200 480 0 0 480
511145.b0015 511145.b3292 276 0 93 315
511145.b0015 511145.b0607 363 0 0 363
511145.b0015 511145.b1078 262 0 0 262
511145.b0015 511145.b2097 88 0 284 319
511145.b0015 511145.b0771 283 0 65 300
511145.b0015 511145.b3342 454 0 0 454
511145.b0015 511145.b1406 212 0 0 212
511145.b0015 511145.b2016 256 0 0 256
511145.b0015 511145.b3303 468 0 0 468
511145.b0015 511145.b3307 449 0 0 448
511145.b0015 511145.b3725 218 0 0 218
511145.b0015 511145.b0169 451 0 0 451
511145.b0015 511145.b0797 242 0 0 241
511145.b0015 511145.b3197 157 0 0 156
511145.b0015 511145.b1805 279 0 0 279
511145.b0015 511145.b2283 326 0 0 325
511145.b0015 511145.b3461 549 0 0 549
511145.b0015 511145.b3418 409 0 0 408
511145.b0015 511145.b0318 179 0 139 262
511145.b0015 511145.b1656 457 0 0 457
511145.b0015 511145.b0473 320 0 283 491
511145.b0015 511145.b0525 459 0 100 492
511145.b0015 511145.b4506 301 0 0 301
511145.b0015 511145.b0637 466 0 0 465
511145.b0015 511145.b2581 335 0 0 335
511145.b0015 511145.b2567 457 0 0 457
511145.b0015 511145.b4034 483 0 0 483
511145.b0015 511145.b0773 284 0 0 284
511145.b0015 511145.b2275 206 0 63 224
511145.b0015 511145.b2285 454 0 0 454
511145.b0015 511145.b3340 189 0 0 189
511145.b0015 511145.b3296 376 0 0 376
511145.b0015 511145.b2594 283 0 0 282
511145.b0015 511145.b2606 480 0 0 479
511145.b0015 511145.b2522 206 0 63 224
511145.b0015 511145.b1343 242 0 0 241
511145.b0015 511145.b3865 463 0 0 463
511145.b0015 511145.b3315 444 0 0 444
511145.b0015 511145.b2488 246 0 0 245
511145.b0015 511145.b0545 284 0 0 284
511145.b0015 511145.b0148 158 0 66 179
511145.b0015 511145.b3313 452 0 116 494
511145.b0015 511145.b1094 482 0 0 482
511145.b0015 511145.b3780 242 0 0 241
511145.b0015 511145.b3656 338 0 0 338
511145.b0015 511145.b0058 283 0 0 282
511145.b0015 511145.b2255 278 0 0 278
511145.b0015 511145.b0661 357 0 0 357
511145.b0015 511145.b0999 460 0 329 622
511145.b0015 511145.b2919 256 0 0 256
511145.b0015 511145.b3846 256 0 0 256
511145.b0015 511145.b2052 256 0 0 256
511145.b0015 511145.b3983 477 0 0 477
511145.b0015 511145.b0869 258 0 0 258
511145.b0015 511145.b1086 283 0 0 282
511145.b0015 511145.b2096 514 0 0 514
511145.b0015 511145.b2942 283 0 0 282
511145.b0015 511145.b0423 206 0 0 206
511145.b0015 511145.b4180 335 0 0 335
511145.b0015 511145.b2069 0 227 208 361
511145.b0015 511145.b4063 276 0 93 315
511145.b0015 511145.b3308 454 0 0 454
511145.b0015 511145.b3878 338 0 0 338
511145.b0015 511145.b2066 68 328 103 389
511145.b0015 511145.b2529 153 0 0 152
511145.b0015 511145.b3320 481 0 0 481
511145.b0015 511145.b2614 522 0 976 988
511145.b0015 511145.b4211 258 0 0 258
511145.b0015 511145.b1378 752 0 0 752
511145.b0015 511145.b3686 174 0 146 264
511145.b0015 511145.b3702 113 0 286 339
511145.b0015 511145.b2576 305 0 0 305
511145.b0015 511145.b3298 467 0 0 466
511145.b0015 511145.b3152 258 0 0 258
511145.b0015 511145.b3651 335 0 0 335
511145.b0015 511145.b0145 0 0 637 636
511145.b0015 511145.b3532 206 0 63 224
511145.b0015 511145.b0183 282 0 0 282
511145.b0015 511145.b0036 256 0 0 256
511145.b0015 511145.b3363 459 0 100 492
511145.b0015 511145.b0650 0 227 139 305
511145.b0015 511145.b3321 441 0 0 441
511145.b0015 511145.b0868 256 0 0 256
511145.b0015 511145.b3306 392 0 0 392
511145.b0015 511145.b2834 212 0 0 212
511145.b0015 511145.b0487 276 0 93 315
511145.b0015 511145.b3186 464 0 0 463
511145.b0015 511145.b3162 270 0 0 269
511145.b0015 511145.b2526 0 227 139 305
511145.b0015 511145.b0875 243 0 0 242
511145.b0015 511145.b4142 77 0 352 376
511145.b0015 511145.b1494 282 0 0 282
511145.b0015 511145.b2609 457 0 0 457
511145.b0015 511145.b3311 465 0 0 465
511145.b0015 511145.b3299 301 0 0 301
511145.b0015 511145.b2786 168 80 0 201
511145.b0015 511145.b3317 454 0 0 454
511145.b0015 511145.b0649 206 0 63 224
511145.b0015 511145.b2720 246 0 0 245
511145.b0015 511145.b2562 246 0 0 245
511145.b0015 511145.b0037 279 0 0 279
511145.b0015 511145.b1224 388 0 0 388
511145.b0015 511145.b3178 165 0 0 165
511145.b0015 511145.b3319 396 0 0 396
511145.b0015 511145.b1413 158 0 66 179
511145.b0015 511145.b0177 75 58 103 150
511145.b0015 511145.b3165 415 0 0 414
511145.b0015 511145.b0424 457 0 63 469
511145.b0015 511145.b3001 212 0 0 212
511145.b0015 511145.b2592 525 0 154 581
511145.b0015 511145.b3300 0 0 212 212
511145.b0015 511145.b3644 395 0 0 394
511145.b0015 511145.b2836 282 0 0 282
511145.b0015 511145.b3729 194 0 0 194
511145.b0015 511145.b0659 381 0 0 381
511145.b0015 511145.b2791 283 0 0 282
511145.b0015 511145.b3706 463 0 0 463
511145.b0015 511145.b3230 458 0 0 457
511145.b0015 511145.b1771 212 0 0 212
511145.b0015 511145.b3301 480 0 0 480
511145.b0015 511145.b3611 206 0 0 206
511145.b0015 511145.b3636 457 0 0 457
511145.b0015 511145.b3637 457 0 0 457
511145.b0015 511145.b2668 206 0 0 206
511145.b0015 511145.b2072 371 0 0 371
511145.b0015 511145.b2699 382 0 0 382
511145.b0015 511145.b2297 205 0 0 204
511145.b0015 511145.b3425 206 0 0 206
511145.b0015 511145.b1393 256 0 0 256
511145.b0015 511145.b1773 218 0 0 218
511145.b0015 511145.b1207 183 0 0 183
511145.b0015 511145.b3309 487 0 0 486
511145.b0015 511145.b3908 457 0 0 457
511145.b0015 511145.b3185 457 0 0 457
511145.b0015 511145.b3294 484 0 0 483
511145.b0015 511145.b2745 464 0 0 463
511145.b0015 511145.b2260 279 0 0 279
511145.b0015 511145.b1701 279 0 0 279
511145.b0015 511145.b1860 406 0 0 406
511145.b0015 511145.b3341 445 0 0 445
511145.b0015 511145.b2195 357 0 138 422
511145.b0015 511145.b3137 218 0 0 218
511145.b0015 511145.b0476 199 0 0 199
511145.b0015 511145.b3527 282 0 0 282
511145.b0015 511145.b4143 74 0 283 307
511145.b0015 511145.b2284 279 0 0 279
511145.b0015 511145.b2542 177 0 0 177
511145.b0015 511145.b3783 158 0 399 472
511145.b0015 511145.b3231 480 0 0 480
511145.b0015 511145.b3305 461 0 0 461
511145.b0015 511145.b1162 276 0 93 315
511145.b0015 511145.b0646 206 0 63 224
511145.b0015 511145.b4309 199 0 0 199
511145.b0015 511145.b2127 276 0 93 315
511145.b0015 511145.b1276 283 0 65 300
511145.b0015 511145.b3927 243 0 0 242
511145.b0020 511145.b3585 0 0 230 229
511145.b0020 511145.b0881 457 0 0 457
511145.b0020 511145.b2741 0 0 255 255
511145.b0020 511145.b0338 0 0 257 256
511145.b0023 511145.b3308 945 0 0 945
511145.b0023 511145.b0169 945 720 0 984
511145.b0023 511145.b3988 800 0 0 800
